date,value
2017-01-01,42
2017-01-02,38
2017-01-03,42
2017-01-04,43
2017-01-05,34
2017-01-06,34
2017-01-07,30
2017-01-08,29
2017-01-09,27
2017-01-10,28
2017-01-11,36
2017-01-12,48
2017-01-13,46
2017-01-14,35
2017-01-15,35
2017-01-16,34
2017-01-17,39
2017-01-18,40
2017-01-19,42
2017-01-20,41
2017-01-21,45
2017-01-22,45
2017-01-23,42
2017-01-24,39
2017-01-25,41
2017-01-26,44
2017-01-27,41
2017-01-28,37
2017-01-29,38
2017-01-30,34
2017-01-31,32
2017-02-01,38
2017-02-02,39
2017-02-03,33
2017-02-04,32
2017-02-05,34
2017-02-06,41
2017-02-07,38
2017-02-08,47
2017-02-09,38
2017-02-10,34
2017-02-11,35
2017-02-12,35
2017-02-13,35
2017-02-14,35
2017-02-15,39
2017-02-16,37
2017-02-17,36
2017-02-18,44
2017-02-19,53
2017-02-20,50
2017-02-21,44
2017-02-22,48
2017-02-23,51
2017-02-24,58
2017-02-25,58
2017-02-26,46
2017-02-27,44
2017-02-28,51
2017-03-01,56
2017-03-02,52
2017-03-03,40
2017-03-04,32
2017-03-05,30
2017-03-06,36
2017-03-07,43
2017-03-08,52
2017-03-09,54
2017-03-10,42
2017-03-11,32
2017-03-12,31
2017-03-13,34
2017-03-14,34
2017-03-15,35
2017-03-16,36
2017-03-17,36
2017-03-18,35
2017-03-19,38
2017-03-20,43
2017-03-21,51
2017-03-22,44
2017-03-23,39
2017-03-24,43
2017-03-25,50
2017-03-26,44
2017-03-27,46
2017-03-28,46
2017-03-29,50
2017-03-30,48
2017-03-31,43
2017-04-01,43
2017-04-02,52
2017-04-03,54
2017-04-04,51
2017-04-05,54
2017-04-06,46
2017-04-07,47
2017-04-08,50
2017-04-09,55
2017-04-10,62
2017-04-11,68
2017-04-12,65
2017-04-13,61
2017-04-14,60
2017-04-15,58
2017-04-16,69
2017-04-17,69
2017-04-18,64
2017-04-19,55
2017-04-20,59
2017-04-21,55
2017-04-22,55
2017-04-23,59
2017-04-24,57
2017-04-25,55
2017-04-26,57
2017-04-27,61
2017-04-28,69
2017-04-29,73
2017-04-30,65
2017-05-01,64
2017-05-02,71
2017-05-03,66
2017-05-04,62
2017-05-05,57
2017-05-06,62
2017-05-07,58
2017-05-08,57
2017-05-09,61
2017-05-10,62
2017-05-11,59
2017-05-12,61
2017-05-13,54
2017-05-14,58
2017-05-15,62
2017-05-16,68
2017-05-17,76
2017-05-18,83
2017-05-19,84
2017-05-20,70
2017-05-21,68
2017-05-22,62
2017-05-23,65
2017-05-24,68
2017-05-25,61
2017-05-26,66
2017-05-27,71
2017-05-28,70
2017-05-29,62
2017-05-30,61
2017-05-31,69
2017-06-01,74
2017-06-02,74
2017-06-03,70
2017-06-04,67
2017-06-05,65
2017-06-06,62
2017-06-07,66
2017-06-08,67
2017-06-09,71
2017-06-10,78
2017-06-11,83
2017-06-12,87
2017-06-13,89
2017-06-14,83
2017-06-15,78
2017-06-16,72
2017-06-17,72
2017-06-18,78
2017-06-19,81
2017-06-20,81
2017-06-21,82
2017-06-22,82
2017-06-23,82
2017-06-24,82
2017-06-25,83
2017-06-26,81
2017-06-27,77
2017-06-28,78
2017-06-29,79
2017-06-30,84
2017-07-01,82
2017-07-02,85
2017-07-03,86
2017-07-04,85
2017-07-05,84
2017-07-06,79
2017-07-07,77
2017-07-08,81
2017-07-09,83
2017-07-10,82
2017-07-11,83
2017-07-12,85
2017-07-13,86
2017-07-14,75
2017-07-15,81
2017-07-16,85
2017-07-17,84
2017-07-18,87
2017-07-19,89
2017-07-20,90
2017-07-21,89
2017-07-22,91
2017-07-23,83
2017-07-24,76
2017-07-25,74
2017-07-26,79
2017-07-27,77
2017-07-28,82
2017-07-29,76
2017-07-30,79
2017-07-31,83
2017-08-01,85
2017-08-02,80
2017-08-03,82
2017-08-04,81
2017-08-05,79
2017-08-06,77
2017-08-07,71
2017-08-08,75
2017-08-09,80
2017-08-10,81
2017-08-11,81
2017-08-12,78
2017-08-13,82
2017-08-14,79
2017-08-15,76
2017-08-16,81
2017-08-17,82
2017-08-18,79
2017-08-19,84
2017-08-20,83
2017-08-21,83
2017-08-22,85
2017-08-23,83
2017-08-24,81
2017-08-25,79
2017-08-26,78
2017-08-27,76
2017-08-28,75
2017-08-29,69
2017-08-30,73
2017-08-31,76
2017-09-01,72
2017-09-02,66
2017-09-03,66
2017-09-04,73
2017-09-05,79
2017-09-06,71
2017-09-07,71
2017-09-08,71
2017-09-09,69
2017-09-10,70
2017-09-11,71
2017-09-12,73
2017-09-13,74
2017-09-14,76
2017-09-15,80
2017-09-16,79
2017-09-17,79
2017-09-18,75
2017-09-19,74
2017-09-20,75
2017-09-21,78
2017-09-22,77
2017-09-23,79
2017-09-24,81
2017-09-25,82
2017-09-26,80
2017-09-27,81
2017-09-28,79
2017-09-29,70
2017-09-30,66
2017-10-01,66
2017-10-02,66
2017-10-03,67
2017-10-04,68
2017-10-05,74
2017-10-06,76
2017-10-07,76
2017-10-08,75
2017-10-09,74
2017-10-10,76
2017-10-11,71
2017-10-12,64
2017-10-13,63
2017-10-14,67
2017-10-15,69
2017-10-16,64
2017-10-17,57
2017-10-18,62
2017-10-19,64
2017-10-20,66
2017-10-21,66
2017-10-22,65
2017-10-23,67
2017-10-24,69
2017-10-25,65
2017-10-26,58
2017-10-27,58
2017-10-28,61
2017-10-29,63
2017-10-30,57
2017-10-31,54
2017-11-01,51
2017-11-02,62
2017-11-03,65
2017-11-04,55
2017-11-05,57
2017-11-06,61
2017-11-07,50
2017-11-08,47
2017-11-09,50
2017-11-10,45
2017-11-11,36
2017-11-12,40
2017-11-13,43
2017-11-14,42
2017-11-15,46
2017-11-16,50
2017-11-17,45
2017-11-18,42
2017-11-19,50
2017-11-20,44
2017-11-21,46
2017-11-22,47
2017-11-23,40
2017-11-24,42
2017-11-25,45
2017-11-26,46
2017-11-27,44
2017-11-28,44
2017-11-29,50
2017-11-30,44
2017-12-01,47
2017-12-02,43
2017-12-03,44
2017-12-04,43
2017-12-05,51
2017-12-06,48
2017-12-07,41
2017-12-08,38
2017-12-09,36
2017-12-10,36
2017-12-11,38
2017-12-12,41
2017-12-13,32
2017-12-14,31
2017-12-15,29
2017-12-16,30
2017-12-17,32
2017-12-18,36
2017-12-19,44
2017-12-20,43
2017-12-21,37
2017-12-22,38
2017-12-23,41
2017-12-24,39
2017-12-25,37
2017-12-26,31
2017-12-27,28
2017-12-28,23
2017-12-29,22
2017-12-30,23
2017-12-31,21
