"STATION","NAME","DATE","HLY-CLDH-NORMAL","HLY-CLOD-PCTBKN","HLY-CLOD-PCTCLR","HLY-CLOD-PCTOVC","HLY-DEWP-NORMAL","HLY-HTDH-NORMAL","HLY-PRES-NORMAL","HLY-TEMP-NORMAL","HLY-WIND-AVGSPD","HLY-WIND-VCTDIR"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T01:00:00","0.0","134","268","438","23.5","30.5","1.0","34.5","12.5","308"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T02:00:00","0.0","155","277","426","23.4","30.8","1.0","34.2","12.5","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T03:00:00","0.0","162","277","430","23.3","31.1","1.0","33.9","12.4","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T04:00:00","0.0","149","262","447","23.3","31.4","1.0","33.6","12.2","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T05:00:00","0.0","135","243","444","23.3","31.6","1.0","33.4","12.2","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T06:00:00","0.0","133","204","450","23.2","31.7","1.0","33.3","12.1","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T07:00:00","0.0","205","118","415","23.2","31.7","1.0","33.3","12.0","311"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T08:00:00","0.0","238","104","429","23.2","31.6","1.0","33.4","12.4","312"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T09:00:00","0.0","231","115","434","23.3","30.9","1.0","34.1","12.9","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T10:00:00","-777.7","249","114","415","23.4","30.1","1.0","34.9","13.0","314"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T11:00:00","-777.7","229","131","423","23.6","29.0","1.0","36.0","13.4","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T12:00:00","-777.7","256","124","432","23.6","28.1","1.0","37.0","13.5","313"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T13:00:00","-777.7","222","131","438","23.8","27.2","1.0","37.8","13.7","310"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T14:00:00","-777.7","234","113","435","23.8","26.6","1.0","38.4","13.7","309"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T15:00:00","-777.7","227","119","420","23.8","26.4","1.0","38.6","13.8","307"
"USW00014732","LA GUARDIA AIRPORT, NY US","01-01T16:00:00","-777.7","218","137","419","23.8","26.7","1.0","38.3","13.6","307"
